iter	Passed	Remaining
1017	30935	121007
1018	30970	120995
1019	31004	120977
1020	31036	120953
1021	31073	120948
1022	31108	120937
1023	31153	120961
1024	31186	120941
1025	31220	120925
1026	31253	120907
1027	31286	120884
1028	31318	120860
1029	31352	120843
1030	31388	120836
1031	31420	120811
1032	31454	120795
1033	31486	120768
1034	31519	120750
1035	31552	120729
1036	31613	120815
1037	31648	120800
1038	31679	120773
1039	31711	120748
1040	31744	120725
1041	31775	120697
1042	31802	120656
1043	31830	120615
1044	31858	120573
1045	31893	120560
1046	31925	120534
1047	31954	120500
1048	31987	120477
1049	32018	120449
1050	32048	120418
1051	32076	120378
1052	32109	120356
1053	32138	120321
1054	32170	120295
1055	32204	120278
1056	32237	120258
1057	32270	120237
1058	32304	120220
1059	32337	120199
1060	32375	120193
1061	32409	120179
1062	32444	120162
1063	32478	120146
1064	32511	120123
1065	32546	120110
1066	32580	120091
1067	32613	120071
1068	32680	120176
1069	32714	120155
1070	32743	120119
1071	32774	120091
1072	32807	120070
1073	32837	120035
1074	32872	120023
1075	32913	120030
1076	32946	120009
1077	32977	119977
1078	33007	119948
1079	33041	119928
1080	33073	119904
1081	33113	119905
1082	33145	119881
1083	33177	119856
1084	33213	119843
1085	33247	119826
1086	33280	119805
1087	33312	119778
1088	33343	119748
1089	33373	119714
1090	33401	119676
1091	33429	119636
1092	33457	119594
1093	33485	119555
1094	33513	119517
1095	33545	119492
1096	33578	119468
1097	33610	119444
1098	33642	119416
1099	33701	119488
1100	33738	119478
1101	33784	119501
1102	33826	119511
1103	33861	119495
1104	33897	119485
1105	33929	119458
1106	33960	119428
1107	33988	119390
1108	34019	119358
1109	34047	119319
1110	34076	119281
1111	34103	119240
1112	34130	119195
1113	34159	119158
1114	34187	119119
1115	34215	119078
1116	34242	119037
1117	34270	118996
1118	34298	118957
1119	34329	118926
1120	34361	118901
1121	34393	118874
1122	34422	118837
1123	34450	118798
1124	34497	118826
1125	34527	118790
1126	34556	118754
1127	34584	118715
1128	34612	118675
1129	34640	118634
1130	34668	118595
1131	34694	118549
1132	34752	118612
1133	34780	118571
1134	34809	118535
1135	34837	118496
1136	34867	118462
1137	34895	118424
1138	34924	118387
1139	34950	118342
1140	34979	118303
1141	35005	118259
1142	35033	118220
1143	35061	118177
1144	35088	118138
1145	35116	118097
1146	35143	118054
1147	35171	118013
1148	35197	117969
1149	35224	117925
1150	35251	117883
1151	35278	117841
1152	35315	117829
1153	35427	118070
1154	35457	118037
1155	35485	117999
1156	35513	117959
1157	35542	117921
1158	35569	117880
1159	35598	117843
1160	35625	117800
1161	35655	117766
1162	35684	117731
1163	35712	117690
1164	35741	117655
1165	35800	117718
1166	35827	117676
1167	35856	117639
1168	35885	117603
1169	35914	117565
1170	35943	117529
1171	35971	117490
1172	36000	117455
1173	36028	117416
