type,labels,number_of_crashes,center_lat,center_lng
Светлое время суток,450,2,53.191475,50.184862499999994
Светлое время суток,963,3,53.222379333333336,50.26927833333333
Светлое время суток,1476,2,53.2193515,50.262854000000004
Светлое время суток,1477,2,53.1853955,50.087065
Светлое время суток,453,2,53.246759999999995,50.3088535
Светлое время суток,458,2,53.231384500000004,50.2125595
Светлое время суток,1483,2,53.5372,49.329263999999995
Светлое время суток,972,2,53.217359,50.208057499999995
Светлое время суток,460,3,53.606963666666665,49.318529
Светлое время суток,976,2,53.113052499999995,50.0653515
Светлое время суток,1488,2,53.244043500000004,50.2538915
Светлое время суток,978,2,53.19386,50.118263999999996
Светлое время суток,469,2,53.2611215,50.415327500000004
Светлое время суток,982,2,53.482442000000006,49.4643035
Светлое время суток,983,2,53.19193,50.1999865
Светлое время суток,1497,3,53.51854766666667,49.404581666666665
Светлое время суток,986,2,53.5092675,49.303427
Светлое время суток,987,2,53.5172505,49.4277395
Светлое время суток,989,2,53.260975,50.208718000000005
Светлое время суток,992,2,53.476357,49.4737495
Светлое время суток,1506,2,53.5253235,49.428799999999995
Светлое время суток,503,3,53.23323666666667,50.18694933333333
Светлое время суток,995,2,53.088395500000004,50.0642045
Светлое время суток,997,3,53.203876666666666,50.238626333333336
Светлое время суток,1509,2,53.518259,49.312079499999996
Светлое время суток,1510,2,53.2327225,50.269466
Светлое время суток,998,2,53.240477999999996,50.206993999999995
Светлое время суток,1002,2,53.212233,50.247994000000006
Светлое время суток,491,3,53.53263966666667,49.33481666666667
Светлое время суток,1516,2,53.1889445,50.1001725
Светлое время суток,1007,2,53.2061925,50.1986875
Светлое время суток,498,2,53.231704,50.2536705
Светлое время суток,1526,2,53.19777,50.1903805
Светлое время суток,1015,2,53.506266,49.419169
Светлое время суток,1020,2,53.536072000000004,49.277885999999995
"В темное время суток, освещение включено",0,2,53.217438,50.187182500000006
"В темное время суток, освещение включено",4,2,53.3727135,51.341187500000004
"В темное время суток, освещение включено",6,2,53.650969,52.131784499999995
"В темное время суток, освещение включено",14,3,53.26079666666667,50.239589
"В темное время суток, освещение включено",27,2,53.222868500000004,50.270122
"В темное время суток, освещение включено",34,2,53.303678500000004,50.281785
"В темное время суток, освещение включено",42,2,53.177808,50.08577
"В темное время суток, освещение включено",47,3,53.12724466666666,48.405572
"В темное время суток, освещение включено",49,2,53.5222575,49.414799
"В темное время суток, освещение включено",52,2,53.1823655,48.493089
"В темное время суток, освещение включено",58,3,53.545572666666665,49.37260366666667
"В темное время суток, освещение включено",59,2,53.184960000000004,50.191469
"В темное время суток, освещение включено",72,2,53.202444,50.1433665
"В темное время суток, освещение включено",76,2,53.3006635,50.335812000000004
"В темное время суток, освещение включено",84,2,53.2673385,50.220079999999996
"В темное время суток, освещение включено",87,2,53.199345,50.167492
"В темное время суток, освещение включено",90,4,53.1573655,48.478187250000005
"В темное время суток, освещение включено",93,2,53.478485,49.439212999999995
"В темное время суток, освещение включено",94,2,53.5136745,49.2937285
"В темное время суток, освещение включено",95,2,53.224298000000005,50.254436
"В темное время суток, освещение включено",96,2,53.538989,49.29991
"В темное время суток, освещение включено",103,3,53.212027,50.20272533333333
"В темное время суток, освещение включено",106,2,53.5034815,49.4004015
"В темное время суток, освещение включено",108,3,53.407830000000004,49.52386
"В темное время суток, освещение включено",113,4,53.2403185,50.2361085
"В темное время суток, освещение включено",118,3,53.228628666666665,50.177739
"В темное время суток, освещение включено",120,4,53.25600075,50.21905625
"В темное время суток, освещение включено",123,2,53.5347555,49.314888999999994
"В темное время суток, освещение включено",126,4,53.5180935,49.42552425
"В темное время суток, освещение включено",128,2,53.1923265,50.1743935
"В темное время суток, освещение включено",130,2,53.096089,49.972311000000005
"В темное время суток, освещение включено",136,2,53.474894,49.4673135
"В темное время суток, освещение включено",143,3,53.20959766666667,50.175682333333334
"В темное время суток, освещение включено",145,3,53.517807,49.31052533333333
"В темное время суток, освещение включено",149,3,53.22837833333333,50.19376166666667
"В темное время суток, освещение включено",154,3,53.193351666666665,50.139432
"В темное время суток, освещение включено",160,2,53.506581,49.276952
"В темное время суток, освещение включено",162,2,53.2336425,50.217599500000006
"В темное время суток, освещение включено",164,2,53.211800499999995,50.287434000000005
"В темное время суток, освещение включено",166,3,53.245156333333334,50.19261566666667
"В темное время суток, освещение включено",169,3,53.20937833333333,50.152088
"В темное время суток, освещение включено",175,2,53.5230995,49.260152500000004
"В темное время суток, освещение включено",177,2,53.2184885,50.2415125
"В темное время суток, освещение включено",180,2,53.5451495,49.380590999999995
"В темное время суток, освещение включено",183,3,53.21195066666667,50.193615666666666
"В темное время суток, освещение включено",184,2,53.55212,49.3035615
"В темное время суток, освещение включено",190,2,53.360157,51.346727
"В темное время суток, освещение включено",194,2,52.9642305,49.6921705
"В темное время суток, освещение включено",206,2,53.150709,48.463019
"В темное время суток, освещение включено",210,2,53.231734,50.247007499999995
"В темное время суток, освещение включено",216,2,53.215197,50.2107925
"В темное время суток, освещение включено",217,3,53.529781666666665,49.275603
"В темное время суток, освещение включено",220,2,53.1916585,48.501524
"В темное время суток, освещение включено",222,2,53.2176265,50.2614475
"В темное время суток, освещение включено",229,2,53.2051815,50.123734999999996
"В темное время суток, освещение включено",234,2,53.2121465,50.138940000000005
"В темное время суток, освещение включено",236,2,53.2133885,50.226414500000004
"В темное время суток, освещение включено",241,3,53.48227933333333,49.46802133333333
"В темное время суток, освещение включено",249,2,53.514554000000004,49.283528000000004
"В темное время суток, освещение включено",255,3,53.205833999999996,50.189645
"В темное время суток, освещение включено",261,2,53.236294,50.1908525
"В темное время суток, освещение включено",262,2,53.349558,50.226684
"В темное время суток, освещение включено",263,2,53.5262295,49.312045499999996
"В темное время суток, освещение включено",264,3,53.20159733333333,50.22143633333334
"В темное время суток, освещение включено",268,2,53.2260025,50.260534500000006
"В темное время суток, освещение включено",272,2,53.549206999999996,49.3323095
"В темное время суток, освещение включено",273,4,53.23636125,50.323288250000004
"В темное время суток, освещение включено",274,2,53.4023555,49.528985
"В темное время суток, освещение включено",275,2,53.482692,49.5141185
"В темное время суток, освещение включено",276,2,53.2064175,50.2125705
"В темное время суток, освещение включено",281,2,53.151619,48.4518885
